IONS
name   mass  charge  temp.(eV)  n/n0
-------------------------------------
[He+]  4.0026d0    1.   0.1      1.
[He2+]	4.0026d0   2.	0.1	 0.
-------------------------------------

NEUTRALS
name   mass  charge  temp.(eV)  n/n0
-------------------------------------
[He]  4.0026d0     0.   0.1      1.
-------------------------------------

REACTION
[e]+[He+]->[e]+[He+]
 0.    0.  
 1.    12.5
COLLISION
------------------------------------------------------------
 3.100000e-4	2.213860e-19
 3.700000e-4	2.213860e-19
 4.400000e-4	2.213850e-19
 5.200000e-4	2.213850e-19
 6.200000e-4	2.213840e-19
 7.400000e-4	2.213830e-19
 8.800000e-4	2.213820e-19
 1.000000e-3	2.213820e-19
 1.200000e-3	2.213800e-19
 1.400000e-3	2.213790e-19
 1.600000e-3	2.213780e-19
 1.900000e-3	2.213750e-19
 2.200000e-3	2.213730e-19
 2.600000e-3	2.213710e-19
 3.100000e-3	2.213670e-19
 3.700000e-3	2.213630e-19
 4.400000e-3	2.213590e-19
 5.200000e-3	2.213530e-19
 6.200000e-3	2.213470e-19
 7.400000e-3	2.213390e-19
 8.800000e-3	2.213290e-19
 1.000000e-2	2.213210e-19
 1.200000e-2	2.213080e-19
 1.400000e-2	2.212950e-19
 1.600000e-2	2.212810e-19
 1.900000e-2	2.212610e-19
 2.200000e-2	2.212410e-19
 2.600000e-2	2.212150e-19
 3.100000e-2	2.211810e-19
 3.700000e-2	2.211410e-19
 4.400000e-2	2.210950e-19
 5.200000e-2	2.210420e-19
 6.200000e-2	2.209760e-19
 7.400000e-2	2.208970e-19
 8.800000e-2	2.208050e-19
 1.000000e-1	2.207260e-19
 1.200000e-1	2.205950e-19
 1.400000e-1	2.204650e-19
 1.600000e-1	2.203360e-19
 1.900000e-1	2.201430e-19
 2.200000e-1	2.199510e-19
 2.600000e-1	2.196970e-19
 3.100000e-1	2.193830e-19
 3.700000e-1	2.190100e-19
 4.400000e-1	2.185810e-19
 5.200000e-1	2.180990e-19
 6.200000e-1	2.175070e-19
 7.400000e-1	2.168120e-19
 8.800000e-1	2.160220e-19
 1.000000e+0	2.153620e-19
 1.200000e+0	2.142950e-19
 1.400000e+0	2.132660e-19
 1.600000e+0	2.122730e-19
 1.900000e+0	2.108470e-19
 2.200000e+0	2.094890e-19
 2.600000e+0	2.077760e-19
 3.100000e+0	2.057740e-19
 3.700000e+0	2.035500e-19
 4.400000e+0	2.011660e-19
 5.200000e+0	1.986770e-19
 6.200000e+0	1.958600e-19
 7.400000e+0	1.928350e-19
 8.800000e+0	1.897000e-19
 1.000000e+1	1.872860e-19
 1.200000e+1	1.837120e-19
 1.400000e+1	1.805830e-19
 1.600000e+1	1.778050e-19
 1.900000e+1	1.741510e-19
 2.200000e+1	1.709750e-19
 2.600000e+1	1.673050e-19
 3.100000e+1	1.633950e-19
 3.700000e+1	1.594290e-19
 4.400000e+1	1.555230e-19
 5.200000e+1	1.517450e-19
 6.200000e+1	1.477600e-19
 7.400000e+1	1.437490e-19
 8.800000e+1	1.398200e-19
 1.000000e+2	1.369220e-19
 1.200000e+2	1.327880e-19
 1.400000e+2	1.292910e-19
 1.600000e+2	1.262590e-19
 1.900000e+2	1.223510e-19
 2.200000e+2	1.190100e-19
 2.600000e+2	1.151920e-19
 3.100000e+2	1.111570e-19
 3.700000e+2	1.070820e-19
 4.400000e+2	1.030750e-19
 5.200000e+2	9.920080e-20
 6.200000e+2	9.511290e-20
 7.400000e+2	9.099960e-20
 8.800000e+2	8.697990e-20
 1.000000e+3	8.402680e-20
 1.200000e+3	7.984470e-20
 1.400000e+3	7.634770e-20
 1.600000e+3	7.335600e-20
 1.900000e+3	6.956910e-20
 2.100000e+3	6.740180e-20
 2.600000e+3	6.288590e-20
 3.100000e+3	5.929180e-20
 3.700000e+3	5.580300e-20
 4.400000e+3	5.251820e-20
 5.200000e+3	4.948110e-20
 6.200000e+3	4.642540e-20
 7.400000e+3	4.350120e-20
